Group.2	Core_1000G	Core_HRC	Core_TOPMed	OmniExp_1000G	OmniExp_HRC	OmniExp_TOPMed	Omni25_1000G	Omni25_HRC	Omni25_TOPMed	MEGA_1000G	MEGA_HRC	MEGA_TOPMed	MAF
IMPACT=HIGH	0.0340370286746444	0.0546398735606232	0.360634454730187	0.039907428313389	0.059494242492662	0.37621359223301	0.0470196432603296	0.065195303680289	0.390212237525401	0.0732671031835629	0.0802099796793859	0.406525174983066	0.000205851461390833
IMPACT=HIGH	0.0895522388059701	0.143546971027217	0.502194907813872	0.107111501316945	0.168129938542581	0.561457418788411	0.135645302897278	0.2071992976295	0.619841966637401	0.255926251097454	0.283582089552239	0.678226514486392	0.00041170182572432
IMPACT=HIGH	0.0981524249422633	0.157043879907621	0.513856812933025	0.130484988452656	0.210161662817552	0.61662817551963	0.170900692840647	0.289838337182448	0.695150115473441	0.377598152424942	0.444572748267898	0.764434180138568	0.000617549008083141
IMPACT=HIGH	0.134	0.198	0.512	0.154	0.254	0.612	0.216	0.322	0.698	0.432	0.484	0.784	0.000823402326
IMPACT=HIGH	0.156405990016639	0.237936772046589	0.587354409317804	0.207986688851913	0.342762063227953	0.720465890183028	0.271214642262895	0.454242928452579	0.803660565723794	0.515806988352745	0.603993344425957	0.860232945091514	0.00111489048252912
IMPACT=HIGH	0.186746987951807	0.27710843373494	0.620481927710843	0.246987951807229	0.379518072289157	0.765060240963855	0.325301204819277	0.530120481927711	0.86144578313253	0.530120481927711	0.63855421686747	0.873493975903614	0.00144093487951807
IMPACT=HIGH	0.148148148148148	0.274074074074074	0.62962962962963	0.251851851851852	0.4	0.740740740740741	0.333333333333333	0.518518518518518	0.807407407407407	0.511111111111111	0.6	0.874074074074074	0.00164679007407407
IMPACT=HIGH	0.166666666666667	0.316666666666667	0.6	0.241666666666667	0.416666666666667	0.808333333333333	0.266666666666667	0.483333333333333	0.85	0.591666666666667	0.725	0.916666666666667	0.00185265175
IMPACT=HIGH	0.153658536585366	0.246341463414634	0.61219512195122	0.229268292682927	0.395121951219512	0.790243902439024	0.314634146341463	0.526829268292683	0.875609756097561	0.536585365853659	0.646341463414634	0.917073170731707	0.00242649846341463
IMPACT=HIGH	0.185185185185185	0.25	0.597222222222222	0.236111111111111	0.416666666666667	0.787037037037037	0.333333333333333	0.486111111111111	0.898148148148148	0.606481481481482	0.662037037037037	0.925925925925926	0.00343653421296296
IMPACT=HIGH	0.17910447761194	0.276119402985075	0.58955223880597	0.305970149253731	0.507462686567164	0.82089552238806	0.402985074626866	0.619402985074627	0.91044776119403	0.641791044776119	0.738805970149254	0.940298507462687	0.00452256455223881
IMPACT=HIGH	0.184873949579832	0.277310924369748	0.680672268907563	0.294117647058824	0.478991596638655	0.899159663865546	0.46218487394958	0.613445378151261	0.949579831932773	0.638655462184874	0.722689075630252	0.92436974789916	0.00555440008403361
IMPACT=HIGH	0.19047619047619	0.321428571428571	0.595238095238095	0.30952380952381	0.488095238095238	0.75	0.404761904761905	0.571428571428571	0.869047619047619	0.630952380952381	0.69047619047619	0.904761904761905	0.00659442357142857
IMPACT=HIGH	0.204081632653061	0.306122448979592	0.73469387755102	0.36734693877551	0.510204081632653	0.816326530612245	0.489795918367347	0.63265306122449	0.959183673469388	0.591836734693878	0.693877551020408	0.979591836734694	0.00749033591836735
IMPACT=HIGH	0.253968253968254	0.365079365079365	0.73015873015873	0.396825396825397	0.587301587301587	0.904761904761905	0.53968253968254	0.714285714285714	0.952380952380952	0.682539682539683	0.793650793650794	0.968253968253968	0.00842667380952381
IMPACT=HIGH	0.227272727272727	0.409090909090909	0.659090909090909	0.386363636363636	0.590909090909091	0.863636363636364	0.522727272727273	0.727272727272727	0.954545454545455	0.659090909090909	0.795454545454545	0.931818181818182	0.009365995
IMPACT=HIGH	0.24	0.38	0.66	0.38	0.6	0.9	0.56	0.76	0.96	0.72	0.8	0.92	0.010481758
IMPACT=HIGH	0.346938775510204	0.530612244897959	0.755102040816326	0.408163265306122	0.653061224489796	0.918367346938776	0.612244897959184	0.877551020408163	0.959183673469388	0.591836734693878	0.857142857142857	1	0.0115945897959184
IMPACT=HIGH	0.317073170731707	0.439024390243902	0.682926829268293	0.463414634146341	0.609756097560976	0.878048780487805	0.609756097560976	0.707317073170732	0.975609756097561	0.682926829268293	0.780487804878049	1	0.0125566170731707
IMPACT=HIGH	0.344827586206897	0.448275862068966	0.758620689655172	0.517241379310345	0.655172413793103	0.96551724137931	0.620689655172414	0.793103448275862	0.96551724137931	0.758620689655172	0.896551724137931	0.96551724137931	0.0136355344827586
IMPACT=HIGH	0.24	0.44	0.84	0.36	0.64	0.92	0.6	0.88	1	0.6	0.88	1	0.014590372
IMPACT=HIGH	0.214285714285714	0.321428571428571	0.714285714285714	0.357142857142857	0.535714285714286	0.964285714285714	0.642857142857143	0.821428571428571	0.964285714285714	0.714285714285714	0.821428571428571	1	0.0153723
IMPACT=HIGH	0.32	0.52	0.84	0.44	0.76	0.96	0.64	0.88	1	0.68	0.88	1	0.01649238
IMPACT=HIGH	0.32	0.6	0.76	0.56	0.72	0.88	0.72	0.88	1	0.64	0.76	0.96	0.01752162
IMPACT=HIGH	0.263157894736842	0.473684210526316	0.789473684210526	0.368421052631579	0.631578947368421	0.894736842105263	0.526315789473684	0.789473684210526	1	0.736842105263158	0.842105263157895	0.947368421052632	0.0185369736842105
IMPACT=HIGH	0.5	0.681818181818182	0.772727272727273	0.772727272727273	0.863636363636364	1	0.863636363636364	0.863636363636364	1	0.909090909090909	0.909090909090909	1	0.0195276727272727
IMPACT=HIGH	0.363636363636364	0.590909090909091	0.818181818181818	0.681818181818182	0.772727272727273	0.954545454545455	0.818181818181818	0.954545454545455	1	0.818181818181818	0.909090909090909	1	0.0205662545454545
IMPACT=HIGH	0.307692307692308	0.307692307692308	0.538461538461538	0.230769230769231	0.461538461538462	0.846153846153846	0.538461538461538	0.538461538461538	0.846153846153846	0.461538461538462	0.615384615384615	0.846153846153846	0.0214871384615385
IMPACT=HIGH	0.588235294117647	0.764705882352941	0.941176470588235	0.647058823529412	0.823529411764706	0.941176470588235	0.764705882352941	0.882352941176471	1	0.882352941176471	0.941176470588235	1	0.0225340941176471
IMPACT=HIGH	0.454545454545455	0.545454545454545	0.818181818181818	0.727272727272727	0.636363636363636	0.909090909090909	0.818181818181818	0.818181818181818	1	0.818181818181818	0.818181818181818	0.909090909090909	0.0234477272727273
IMPACT=HIGH	0.461538461538462	0.615384615384615	0.769230769230769	0.538461538461538	0.692307692307692	1	0.769230769230769	0.923076923076923	1	0.769230769230769	1	1	0.0245748461538462
IMPACT=HIGH	0.333333333333333	0.4	0.533333333333333	0.666666666666667	0.866666666666667	0.933333333333333	0.866666666666667	0.933333333333333	1	0.866666666666667	0.933333333333333	1	0.0255798133333333
IMPACT=HIGH	0.5	0.5	0.833333333333333	0.5	0.666666666666667	1	0.666666666666667	0.833333333333333	1	0.833333333333333	0.833333333333333	1	0.0265541166666667
IMPACT=HIGH	0.692307692307692	0.769230769230769	0.769230769230769	0.692307692307692	0.846153846153846	1	0.769230769230769	0.923076923076923	1	0.846153846153846	1	1	0.0276467153846154
IMPACT=HIGH	0.3	0.4	0.7	0.6	0.7	1	0.8	0.8	1	0.9	0.7	1	0.02857142
IMPACT=HIGH	0.444444444444444	0.444444444444444	0.777777777777778	0.777777777777778	0.777777777777778	1	0.777777777777778	0.888888888888889	1	0.888888888888889	1	1	0.0294817444444444
IMPACT=HIGH	0.615384615384615	0.615384615384615	0.769230769230769	0.615384615384615	0.769230769230769	1	0.769230769230769	0.923076923076923	1	0.846153846153846	0.923076923076923	1	0.0304018846153846
IMPACT=HIGH	0.714285714285714	0.714285714285714	0.857142857142857	0.571428571428571	0.714285714285714	0.857142857142857	0.714285714285714	1	1	0.857142857142857	0.857142857142857	1	0.0312885714285714
IMPACT=HIGH	0.692307692307692	0.769230769230769	0.923076923076923	0.769230769230769	0.846153846153846	0.923076923076923	0.923076923076923	0.923076923076923	0.923076923076923	0.923076923076923	0.923076923076923	0.923076923076923	0.0325078615384615
IMPACT=HIGH	0.571428571428571	0.714285714285714	0.857142857142857	0.857142857142857	0.857142857142857	0.857142857142857	1	1	1	0.857142857142857	0.857142857142857	0.857142857142857	0.0336117142857143
IMPACT=HIGH	0.272727272727273	0.545454545454545	0.636363636363636	0.545454545454545	0.727272727272727	1	0.909090909090909	1	1	0.818181818181818	0.909090909090909	1	0.0345634
IMPACT=HIGH	0.3	0.6	0.9	0.7	0.8	1	0.8	1	1	0.9	0.9	1	0.0354262
IMPACT=HIGH	0.4375	0.5625	0.6875	0.5625	0.8125	0.875	0.75	0.875	1	0.75	0.8125	1	0.03639615
IMPACT=HIGH	0.888888888888889	0.888888888888889	1	0.888888888888889	0.888888888888889	1	0.888888888888889	1	1	0.888888888888889	0.888888888888889	1	0.0375783444444444
IMPACT=HIGH	0.636363636363636	0.818181818181818	1	0.727272727272727	0.818181818181818	1	1	1	1	0.909090909090909	0.909090909090909	1	0.0382873727272727
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.039728275
IMPACT=HIGH	0.5	0.666666666666667	0.833333333333333	0.666666666666667	1	1	0.833333333333333	1	1	1	1	1	0.04044875
IMPACT=HIGH	0.666666666666667	0.666666666666667	1	0.666666666666667	0.777777777777778	1	0.888888888888889	0.888888888888889	1	1	0.888888888888889	1	0.0415122777777778
IMPACT=HIGH	1	1	1	1	1	1	1	1	1	1	1	1	0.0426616
IMPACT=HIGH	0.833333333333333	0.833333333333333	1	0.833333333333333	0.833333333333333	1	0.833333333333333	0.833333333333333	1	0.833333333333333	0.833333333333333	1	0.0434335166666667
IMPACT=HIGH	0.555555555555556	0.888888888888889	0.888888888888889	0.888888888888889	0.888888888888889	1	0.888888888888889	1	1	0.888888888888889	1	1	0.0445770888888889
IMPACT=HIGH	0.5	0.833333333333333	0.916666666666667	0.833333333333333	0.916666666666667	0.916666666666667	0.833333333333333	0.916666666666667	1	0.916666666666667	0.916666666666667	0.916666666666667	0.0455091416666667
IMPACT=HIGH	0.833333333333333	0.833333333333333	1	0.833333333333333	1	1	1	1	1	1	1	1	0.0464869
IMPACT=HIGH	0.6	0.7	0.8	0.9	0.8	1	0.9	0.8	1	0.9	0.9	1	0.0474887
IMPACT=HIGH	0.714285714285714	0.714285714285714	0.714285714285714	0.857142857142857	1	1	1	1	1	0.857142857142857	1	1	0.0487267142857143
IMPACT=HIGH	0	0.333333333333333	0.666666666666667	0.333333333333333	0.333333333333333	1	0.333333333333333	0.666666666666667	1	0.333333333333333	0.333333333333333	1	0.0494029666666667
IMPACT=HIGH	0.571428571428571	0.571428571428571	0.571428571428571	0.571428571428571	0.571428571428571	0.714285714285714	0.857142857142857	0.857142857142857	1	0.857142857142857	0.857142857142857	1	0.0504616857142857
IMPACT=HIGH	0.5	0.9	1	0.8	1	1	0.9	1	1	0.9	1	1	0.05144095
IMPACT=HIGH	0.727272727272727	0.818181818181818	1	0.818181818181818	1	1	0.909090909090909	1	1	1	1	1	0.0524346272727273
