Core_TOPMed	OmniExp_TOPMed	Omni25_TOPMed	MEGA_TOPMed	MAF
0.187597590898952	0.20566584876199	0.223287976801249	0.220388132946687	0.000205989166629489
0.246732026143791	0.284313725490196	0.316993464052288	0.29983660130719	0.000411936263888889
0.274436090225564	0.340225563909774	0.385338345864662	0.362781954887218	0.000618013498120301
0.318302387267904	0.387267904509284	0.419098143236074	0.424403183023873	0.000823882846153846
0.331275720164609	0.42798353909465	0.477366255144033	0.47119341563786	0.00111549156378601
0.317647058823529	0.417647058823529	0.458823529411765	0.458823529411765	0.00144194711764706
0.438095238095238	0.523809523809524	0.552380952380952	0.561904761904762	0.00164807219047619
0.296610169491525	0.423728813559322	0.491525423728814	0.516949152542373	0.0018537143220339
0.42713567839196	0.537688442211055	0.582914572864322	0.577889447236181	0.00243444545226131
0.512727272727273	0.603636363636364	0.672727272727273	0.647272727272727	0.00344889229090909
0.49009900990099	0.603960396039604	0.707920792079208	0.678217821782178	0.00454468376237624
0.550898203592814	0.664670658682635	0.706586826347305	0.688622754491018	0.00554753574850299
0.678571428571429	0.821428571428571	0.839285714285714	0.839285714285714	0.00652279178571429
0.632075471698113	0.735849056603774	0.764150943396226	0.754716981132076	0.00746163764150943
0.6875	0.802083333333333	0.864583333333333	0.8125	0.00843152510416667
0.727272727272727	0.803030303030303	0.833333333333333	0.833333333333333	0.00942419333333333
0.728813559322034	0.813559322033898	0.830508474576271	0.796610169491525	0.0105150338983051
0.60655737704918	0.688524590163934	0.754098360655738	0.704918032786885	0.0114740639344262
0.72	0.8	0.86	0.82	0.012525434
0.727272727272727	0.787878787878788	0.818181818181818	0.787878787878788	0.0135624090909091
0.666666666666667	0.777777777777778	0.911111111111111	0.822222222222222	0.0143577622222222
0.736842105263158	0.868421052631579	0.921052631578947	0.894736842105263	0.0154681210526316
0.833333333333333	0.928571428571429	0.976190476190476	0.976190476190476	0.016475919047619
0.825	0.925	0.925	0.9	0.0175147975
0.870967741935484	0.903225806451613	0.903225806451613	0.903225806451613	0.0186002451612903
0.769230769230769	0.884615384615385	0.961538461538462	0.923076923076923	0.0195149730769231
0.84	0.88	0.92	0.92	0.02053578
0.833333333333333	0.944444444444444	0.944444444444444	0.944444444444444	0.0214187388888889
0.758620689655172	0.862068965517241	0.896551724137931	0.896551724137931	0.0223624
0.645161290322581	0.774193548387097	0.838709677419355	0.870967741935484	0.0234916451612903
0.869565217391304	0.91304347826087	0.956521739130435	0.956521739130435	0.0245361739130435
0.814814814814815	0.888888888888889	0.925925925925926	0.888888888888889	0.0256163814814815
0.863636363636364	0.954545454545455	0.954545454545455	0.954545454545455	0.0265098772727273
0.75	0.875	0.9375	0.9375	0.0275818875
0.5	0.833333333333333	0.833333333333333	0.833333333333333	0.0284909
0.875	1	1	1	0.029292125
0.888888888888889	0.888888888888889	0.888888888888889	0.888888888888889	0.0304049555555556
0.9	1	1	1	0.03131951
0.833333333333333	0.916666666666667	0.916666666666667	0.916666666666667	0.0325166083333333
0.75	1	1	1	0.0335308
0.833333333333333	1	1	1	0.0344270916666667
0.5	0.75	0.875	0.875	0.035546975
0.75	0.875	0.875	0.875	0.0362809
0.888888888888889	1	1	1	0.0374896888888889
1	1	1	1	0.03844262
0.857142857142857	0.857142857142857	0.857142857142857	0.857142857142857	0.0394528285714286
0.666666666666667	0.777777777777778	0.888888888888889	0.777777777777778	0.0404595444444444
0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.0416180333333333
1	1	1	1	0.042319175
0.928571428571429	0.928571428571429	0.928571428571429	0.928571428571429	0.04329855
0.857142857142857	0.714285714285714	0.857142857142857	0.857142857142857	0.0446065
1	1	1	1	0.0456698
0.4	0.6	0.6	0.6	0.04680674
0.75	1	1	1	0.04740575
0.857142857142857	1	1	1	0.048482
0.6	0.6	0.6	0.6	0.04937814
1	1	1	1	0.05032118
1	1	1	1	0.0514654
1	1	1	1	0.05247996
1	1	1	1	0.05352882
1	1	1	1	0.05447985
0.75	0.75	0.75	0.75	0.055361
0.857142857142857	1	1	1	0.0563728
0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.0573716166666667
1	1	1	1	0.05880535
0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.0592999333333333
0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.0606591666666667
0.666666666666667	1	1	1	0.0614877666666667
1	1	1	1	0.0624827666666667
1	1	1	1	0.0635639666666667
1	1	1	1	0.0645072333333333
0.75	0.75	0.75	0.75	0.065215125
1	1	1	1	0.0664652166666667
1	1	1	1	0.067548775
1	1	1	1	0.068610225
0.666666666666667	1	1	1	0.0692613
1	1	1	1	0.071450675
1	1	1	1	0.0725363
1	1	1	1	0.073487
1	1	1	1	0.07458202
1	1	1	1	0.075845
1	1	1	1	0.0768438
1	1	1	1	0.0772952
1	1	1	1	0.0785175
1	1	1	1	0.0790449
1	1	1	1	0.0805079333333333
1	1	1	1	0.0816397
1	1	1	1	0.0827145
1	1	1	1	0.0835049
0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.0845922
1	1	1	1	0.0854613
1	1	1	1	0.0895799
1	1	1	1	0.0904782
1	1	1	1	0.0915087
1	1	1	1	0.0925569333333333
1	1	1	1	0.0943552
1	1	1	1	0.0957184
1	1	1	1	0.0963756
1	1	1	1	0.0971993
1	1	1	1	0.0983392333333333
1	1	1	1	0.0992864
1	1	1	1	0.100494
1	1	1	1	0.101297
1	1	1	1	0.102923
1	1	1	1	0.10462375
1	1	1	1	0.105892
1	1	1	1	0.106363
1	1	1	1	0.1077985
1	1	1	1	0.108114
1	1	1	1	0.109027
1	1	1	1	0.110607
0	0	0	0	0.113674
1	1	1	1	0.114624
1	1	1	1	0.116605
1	1	1	1	0.117271
1	1	1	1	0.118567
0.5	1	1	1	0.119543
1	1	1	1	0.120832
1	1	1	1	0.123302
1	1	1	1	0.124614
1	1	1	1	0.128707
1	1	1	1	0.1325985
1	1	1	1	0.1341365
1	1	1	1	0.1375335
1	1	1	1	0.141856
1	1	1	1	0.142651
1	1	1	1	0.14374
1	1	1	1	0.14471
1	1	1	1	0.1482395
1	1	1	1	0.149506
1	1	1	1	0.150741
0	0	0	0	0.151153
1	1	1	1	0.152389
1	1	1	1	0.15383
1	1	1	1	0.155414
1	1	1	1	0.1566425
1	1	1	1	0.157743
1	1	1	1	0.1592875
0	0	0	0	0.163509
1	1	1	1	0.164127
1	1	1	1	0.1652255
1	1	1	1	0.167972
1	1	1	1	0.168315
1	1	1	1	0.171676
1	1	1	1	0.173647333333333
1	1	1	1	0.174423
1	1	1	1	0.175392
1	1	1	1	0.179909
1	1	1	1	0.18135
1	1	1	1	0.187113
